"","V1","V2","V3"
"3303","PRANG","WEST BOUND",1
"3304","NIGH TONE","REEL",1
"3305","QUIZZING","PAST BUT",1
"3306","VOCALIZE","WAIF",1
"3307","BELIEVABLY","LOW TONED",1
"3308","ASSORT","SLUSH",1
"3309","CONTROLLING","DISPOSABLE",1
"3310","DISPOSABLE","WIELD",1
"3311","FIREMAN","MIDDLE EAST",1
"3312","GREY","FIREMAN",1
"3313","MIDDLE EAST","CAD",1
"3314","RHODODENDRON","ASSORT",1
"3315","TRAVERSE","BERM",1
"3316","WIELD","CATHEDRAL",1
"3317","FOOT MIDDLE","TALL FLANKED",1
"3318","HOMINIDS COVERED","FOOT MIDDLE",1
"3319","JEFF","MARTIN",1
"3320","MARTIN","BF",1
"3321","NEXT ALL","OB SERVING",1
"3322","PRIOR OBSERVED","QUARRY DESCRIBES",1
"3323","QUARRY DESCRIBES","GLIDE LIKE",1
"3324","SGT","JEFF",1
"3325","SWING ATE","SGT",1
"3326","TALL FLANKED","CREATURES TALLEST",1
"3327","STEVEN","SKATEBOARD",1
"3328","ENCHANT","MOSSY",1
"3329","HEARD ME","MOTHER FATHER",1
"3330","PTERODACTYL","DINOSAUR",2
"3331","SLUG","MOSS",1
"3332","DORM","PERIMETER",1
"3333","PALSY","UNEVEN",1
"3334","REPLICA","TAPE RECORDED",1
"3335","TAPE RECORDED","PALSY",1
"3336","SHINE LOOKED","DO THEN",1
"3337","SPONGE","OTHERS MEANING",1
"3338","COOKS LANDING","PILOT TOWN",1
"3339","FIELD WOODED","SUSQUEHANNA",1
"3340","PILOT TOWN","FIELD WOODED",1
"3341","FRAY","DISSIPATE",1
"3342","CARETAKER","LIGHTHOUSE",1
"3343","WATERFOWL","MUNDANE UNTIL",1
"3344","ARE AWE","DIRECTIONS WE",1
"3345","ARMPIT","BROWN NOT",1
"3346","DIRECTIONS WE","FT PAST",1
"3347","FT PAST","TIME IT",1
"3348","TALL IT","THICK BRUSHED",1
"3349","THICK BRUSHED","ARE AWE",1
"3350","PRECIPITOUS","POL",1
"3351","AMMUNITION","CANST",1
"3352","BOROUGH","CABIN WE",1
"3353","BRACE","HOLLOW THE",1
"3354","IN FLUX","SEASON THE",1
"3355","INTOXICANT","PATROLMAN",1
"3356","NOISILY","CAMP WE",1
"3357","SHEAR","CAMP THE",1
"3358","HABITATION","MANIKIN",1
"3359","MANIKIN","RETHOUGHT",1
"3360","PORTION IT","OBS CURING",1
"3361","RETHOUGHT","HABITATION",1
"3362","PELLET","INNATE",1
"3363","DISCRETE","VAPOR",2
"3364","SMELLY","DISCRETE",1
"3365","CRYPTOZOIC","HOBBY",1
"3366","DOWN THEN","MOTHER SHE",1
"3367","FORGE TIT","TALL STANDING",1
"3368","CAR LIGHTS","EYES SO",1
"3369","EYES SO","BIPED",1
"3370","GONE AND","LIFE THE",1
"3371","LIFE THE","EYES BROWN",1
"3372","STONEMASON","WOODS TREES",1
"3373","URINATE","EMO",1
"3374","ADV","ULT",1
"3375","ANYBODY THEY","WONT",1
"3376","DAVE","GROVE",1
"3377","EMOTE","FIANCE",1
"3378","GROVE","NOTORIETY",1
"3379","PADDED","GILLIE",1
"3380","SPRINGTIME EARLY","SUMMER FALL",1
"3381","SYBIL LA","IRWIN",1
"3382","ULT","WARFARE",1
"3383","BATCH","WHISTLER",1
"3384","FRINGE","WHOOPEE",1
"3385","PIGEON","COMMOTION",1
"3386","PITTSBURGH","PEREGRINE",1
"3387","WHISTLER","HAST",1
"3388","PAW","GRAY LIGHT",1
"3389","CAMBRIC","PATTON",1
"3390","CALM KEPT","SEW",1
"3391","LEVITT OWN","SUBURBIA",1
"3392","MALATHION","LEVITT OWN",1
"3393","ONE TRAINED","PLAUSIBLE",1
"3394","PLAUSIBLE","HOLLYWOOD",1
"3395","SEW","TELEPATHICALLY",1
"3396","SKIPPED","MALATHION",1
"3397","TOP HEAVY","BIODIVERSITY",1
"3398","CARIBOU","PORCUPINE",1
"3399","D","GROUND IT",1
"3400","FAIRBANKS","ANCHORAGE",1
"3401","GROUND IT","DENALI",1
"3402","PORCUPINE","EUTECTIC",1
"3403","ALBEIT","SHAY",1
"3404","ATHABASCA","BELIEFS",1
"3405","BELIEFS","WOODSMEN",1
"3406","SOUTH FACING","ASPEN",1
"3407","CLUMPY","THIRTY FIVE",1
"3408","HIND LEGS","CLUMPY",1
"3409","PURVEY","FLAGGED",1
"3410","HARRIS","HARRIS",1
"3411","ALAN","YOU'VE",1
"3412","CATARRH","RUST BROWN",1
"3413","DIVA","DAVE",1
"3414","DOMESTICATE","VALDEZ",1
"3415","DOUBTLESS","SAWDUST",1
"3416","EVENTUALITY","LUMBER",1
"3417","EXCERPT","MAT",1
"3418","LOYD","DIVA",1
"3419","MULTITUDE","BEDDING",1
"3420","VALDEZ","EXPEND",1
"3421","BONGO","GREEN MOUNT",1
"3422","CLYDESDALE","MU",1
"3423","GETTYSBURG","THIRTEEN",1
"3424","HOOVES","CLYDESDALE",1
"3425","THEM THE","FIREBALL",1
"3426","LAUREL","RHODODENDRON",1
"3427","HOOF PRINTS","AMT",1
"3428","CLAIR TON","HILLSIDE IT",1
"3429","NOV","CLAIR TON",1
"3430","AMANDA","PLUME",1
"3431","AX","NIAGARA",1
"3432","DELAWARE","THICKO",1
"3433","ARTHUR","ROMAINE",1
"3434","GLENDALE","PRINCE",1
"3435","SNOW MACHINING","SNOW MACHINE",1
"3436","YELLOWSTONE","LOOKOUT",1
"3437","CLAPPED","AIR SHAFT",1
"3438","FAUNA","SETT",1
"3439","SPOTTING","TYSON",1
"3440","AMBER","AURORA",1
"3441","AURORA","MONGOLOID",1
"3442","BUTLER","PLODDED",1
"3443","GRAPESHOT","JOYCE",1
"3444","HERALD","MURRAY",1
"3445","ALKALINE","PRIMATE THE",1
"3446","APPREHENSIVE","GATEWAY",1
"3447","ATTACK THE","POSITIONED",1
"3448","BEEP","SIDE MORE",1
"3449","BENT THE","ALKALINE",1
"3450","EYEBALL","EYEBALL",2
"3451","ME PITCH","ENGLAND",1
"3452","PRIMATE THE","SIDE IT",1
"3453","SIDE MORE","COMPRESSION",1
"3454","URIC","MEAL BOOK",1
"3455","BEAR NOW","HYSTERIC",1
"3456","DRUNKEN","MAINE IT",1
"3457","HYSTERIC","BREATHING THIS",1
"3458","IT HAIR","EXCLAMATION",1
"3459","LIE SURLY","CHIPPING",1
"3460","MYSELF THIS","BEAR NOW",1
"3461","OUCH","TENT THIS",1
"3462","SCREAM YOU","IT HAIR",1
"3463","TRACKS THERE","IMPRINTS ONLY",1
"3464","BAXTER","DANNY",1
"3465","DANNY","WOLFE",1
"3466","EDITORIAL","MANUAL",1
"3467","GUFFAW","VETCH",1
"3468","HEATSTROKE","PHYSIOLOGY",1
"3469","NA TICK","ALB",1
"3470","PARTRIDGE","STEROID",1
"3471","PD","PHYSIOLOGIST",1
"3472","PHEASANT","HEATSTROKE",1
"3473","PHYSIOLOGIST","NA TICK",1
"3474","PHYSIOLOGY","EDITORIAL",1
"3475","STEROID","DRUMMING",1
"3476","HAMPSHIRE","ASHURBANIPAL",1
"3477","CARLTON","MA",1
"3478","OXFORD","WEBSTER",1
"3479","CHARLESTON","RHODE",1
"3480","RI","CT",1
"3481","UFO","RAINSTORM",1
"3482","HIDE AND","GO SEEK",1
"3483","WASATCH","AFB",1
"3484","FYI","MEYER",1
"3485","MEYER","OGDEN",1
"3486","WEREWOLF","OF COURSE",1
"3487","CONTOURED NO","JAGGED",1
"3488","WRAPPED","SHAWL",1
"3489","CHOKECHERRY","CHOKECHERRY",1
"3490","MONTE","CRISCO",6
"3491","NICKNAME","ROY",1
"3492","PARALLELOGRAM","KNUCKLE WALKING",1
"3493","ADAM","PICK NICK",1
"3494","GRAND VIEW","GRAND VIEW",1
"3495","DARRELL","DICK",1
"3496","LAURIE","DARRELL",1
"3497","CANNY","ENTERTAIN",1
"3498","CHILI","JUSTIN",1
"3499","COWCATCHER","TAGGED",1
"3500","DREAM NIGHTMARE","MISADVENTURE",1
"3501","HARROW","COMMEND",1
"3502","VENISON","CHILI",1
"3503","WAPITI","MISINTERPRET",1
"3504","OVERHEAD","SWOOP",1
"3505","SCREE","GRUNT HUFFING",1
"3506","HORRIFIC","NELSON",1
"3507","FART","FELICITATE",1
"3508","FELICITATE","EN ROUTE",1
"3509","INGLEWOOD","YAKIMA",1
"3510","ABDOMINAL","POSITIONING",1
"3511","AGILE","EFFORTLESS",2
"3512","ARTWORK","LIMITATIONS",1
"3513","BERM","PINE NEEDLE",1
"3514","BREASTSTROKE","UNIFORMED LIKE",1
"3515","CHECKER","FLANNEL",1
"3516","CLOTHE","DISCREPANCY",1
"3517","CONGREGATE","PATHWAY",1
"3518","CONSOLIDATE","CONGREGATE",1
"3519","CONVULSE","REACTIONARY",1
"3520","EXTREMITY","PREDOMINANT",1
"3521","FLANNEL","VET",1
"3522","FROWARD","CAB FRO",1
"3523","FULL BODY","CONVULSE",1
"3524","HANDHELD","THERMAL",1
"3525","HEAT SENSING","PURPORT",1
"3526","J","UNIMPRESSIVE",1
"3527","JAMIE","NON CONDUCIVE",1
"3528","KINK","NOTE ALL",1
"3529","LAYOUT","FINGER SNAPPING",1
"3530","LIMITATIONS","READER VIEWER",1
"3531","MINIVAN","PLUGIN",1
"3532","NON CONDUCIVE","SUBSTRATE",1
"3533","PATHWAY","PERPENDICULAR",1
"3534","PIX","PAUSE FREEZE",1
"3535","POSITIONING","AGILE",1
"3536","RE PACKING","ANTICLOCKWISE",1
"3537","READER VIEWER","IMPRESSIONIST",1
"3538","RECURRING","ARTWORK",1
"3539","SEATTLE","JAMIE",1
"3540","STEP BRANCH","NIGHTCLOTHES",1
"3541","THERMAL","BOREDOM",1
"3542","TRANSITIONAL","IN BETWEEN",1
"3543","UNIFORMED LIKE","PICA",1
"3544","UPCOUNTRY","COINCIDENTAL",1
"3545","VET","BEANIE",1
"3546","WARDROBE","CHECKER",1
"3547","WHITEOUT","RECURRING",1
"3548","XX","HANDHELD",1
"3549","ADVENTUROUS","NOTABLE",1
"3550","CLACK","CLACK CLACK",2
"3551","COX","ADAMANT",1
"3552","COY","SLIPPER",1
"3553","JENNIFER","COUGAR SWAMP",1
"3554","LEGS NOTHING","OUTGO",1
"3555","MAYBE JUST","ENCOUNTER IF",1
"3556","ME WHAT","JENNIFER",1
"3557","NOTABLE","RESTROOM",1
"3558","OUTGO","ADVENTUROUS",1
"3559","PETTING","INFLATE",1
"3560","PICNICKING","BUNCH BERRY",1
"3561","POWERS","CAPABILITIES",1
"3562","SMACK","BREEZY ALL",1
"3563","BORON","WISCONSIN",1
"3564","BOARDWALK","HUNG",1
"3565","MANAMA","DOZ",1
"3566","MARSH BRUSH","EDDY",1
"3567","MASH PEE","COD",2
"3568","WHITE SILVERY","MICHAEL",1
"3569","WORCESTER","MD",1
"3570","EARLIER MAYBE","COINCIDENCE",1
"3571","GREENBELT","MARYLAND",1
"3572","MARYLAND","VINDICATE",1
"3573","PERSISTENT","EARLIER MAYBE",1
"3574","MD","AQUEDUCT",1
"3575","AIR THE","APE GOT",1
"3576","APE GOT","FENCE IT",1
"3577","BIDDING","EDGE WOOD",1
"3578","ROTE","BUSHMASTER",1
"3579","SIM","HAPPENED THE",1
"3580","OJIBWA","MN",1
"3581","LON","STICKLER",1
"3582","MU","SMELL KIND",1
"3583","AROUND LIGHTING","THEM THE",1
"3584","CHRIST","HUNK",1
"3585","GRAVEYARD","DEER IF",1
"3586","GUN POWDER","CHATTING",1
"3587","PLOP","TOMMY",1
"3588","TOMMY","BRIAN WE",1
"3589","JERUSALEM","GUN POWDER",1
"3590","BENNETT","FREDERICK",1
"3591","AARON","STRAUSS",1
"3592","PONCHO","PONCHO",1
"3593","NEE","TIPPED",1
"3594","MYSTIFY","WC",1
"3595","WC","WATERBURY",1
"3596","GEORGIA","HANOVER",1
"3597","CHESHIRE","HARBOR",1
"3598","CLAPPING","NONRHYTHMIC",1
"3599","CLASP","CLASP",1
"3600","HARBOR","ROCKWELL",1
"3601","REDFORD","FREETOWN",1
"3602","DUNK","DO NUTS",1
"3603","BACKSTOPPING","WEREWOLF",1
"3604","HAPHAZARD","BACKSTOPPING",1
"3605","VERMONT","CONNECTICUT",1
"3606","KIDDING","MERCIFUL",1
"3607","NONPRESCRIPTION","NONDENOMINATIONAL",1
"3608","WATERSHED","BALTIMORE",1
"3609","HAIR SURPRISINGLY","THINK BUT",1
"3610","HILL IN","AWAY NEVER",1
"3611","THINK BUT","BEING HE",1
"3612","CHIPMUNK","WOODCHUCK",1
"3613","GROANING BARKING","MOOSE OR",1
"3614","HANDOVER","BLAZE",1
"3615","MICROLIGHT","FIRE WARMED",1
"3616","MOOSE OR","BERETTA",1
"3617","NIMBY","NARRATE",1
"3618","WOODCHUCK","WEATHER OR",1
"3619","BLAINE","FOOTMAN",1
"3620","BRENT","HAYNES",1
"3621","CAIRO","HALF MILE",1
"3622","FOOTMAN","CHIC",1
"3623","HUNTINGTON","COUNTERFACTUAL",1
"3624","JEAN","MERRILL",1
"3625","LISBON","DURHAM",1
"3626","META","HUNTINGTON",1
"3627","NOTIFY","ANDROGENIC",1
"3628","TAMMY","CAIRO",1
"3629","AM BUSH","DEER THIS",1
"3630","CLAM","MOVE OFF",1
"3631","DR","LICENSES ONE",1
"3632","GNAT","FRIEND AFTER",1
"3633","HOLSTER","GNAT",1
"3634","LICENSES ONE","FEMALE THE",1
"3635","SHOT ALL","ROAR SCREAM",1
"3636","STEERSMAN","BIOTIN",1
"3637","THERE THE","LEGENDARY",1
"3638","TRUCK WHEN","DR",1
"3639","BARKING AND","ON CONTINUES",1
"3640","HOWL DOGS","BARKING AND",1
"3641","ON CONTINUES","DAYBREAK",1
"3642","ANTIQUE","YPSILANTI",1
"3643","COCA COLA","FOUL",1
"3644","CONDOMINIUM","SUBDIVISION",1
"3645","COOKOUT","MAKESHIFT",1
"3646","COOPER","TRIPOS",1
"3647","ELLS WORTH","KILOMETER",1
"3648","MONTICELLO","ELLS WORTH",1
"3649","NAMESAKE","SALINE",1
"3650","PACKARD","MONTICELLO",1
"3651","SALINE","HILLS DALE",1
"3652","YPSILANTI","LAGGING",1
"3653","ANDY","KINGSTON",1
"3654","BALSAM","POPLAR",1
"3655","SPRUCE","BALSAM",1
"3656","SLAT","SLAT",1
"3657","SQUINT","SQUINT",1
"3658","ANYWAY REAL","KICKY",1
"3659","CHI","HOEDOWN",1
"3660","LIGHTEN","FLUTTER",1
"3661","MICHIGAN","PICARESQUE",1
"3662","PEDDLE","CHI",1
"3663","PICARESQUE","IDLE",3
"3664","FULL MOON","EAVE",1
"3665","HURON","FULL MOON",1
"3666","OVER EXACTLY","PERK",1
"3667","SHORTSTOP","FLIP FLOPS",1
"3668","SKIPPING","WOODS NEVER",1
"3669","TINGE","EASY WHEN",1
"3670","CHUB","DOGMA",1
"3671","DOGMA","COMMONS",1
"3672","AM THIS","DRIVING WE",1
"3673","AREA IT","COLD THERE",1
"3674","ARMS BEAR","TAPER",1
"3675","BROAD MANLIKE","ARMS BEAR",1
"3676","COLD THERE","SIGHS",1
"3677","DOWNWARDS THESE","BROAD IT",1
"3678","NOT BUT","TRACKS WE",1
"3679","SAWYER","DETROIT",1
"3680","SWEENEY","AREA THIS",1
"3681","UNENTERPRISING","SWEENEY",1
"3682","MONTH OLD","MINNEAPOLIS",1
"3683","PENINSULA","SQUIRT",1
"3684","RECEPTACLE","RUSTIC",1
"3685","AMP","BLUEGILL",1
"3686","MI HR","AFFIRMATIVE",1
"3687","TOPOGRAPHICAL","AMP",1
"3688","GERMANE","MARTINIQUE",1
"3689","MARTINIQUE","PARTRIDGE",1
"3690","GULLIVER","WOODCRAFT",1
"3691","WET MORE","SCHOOL CRAFT",1
"3692","GOB","TOPPLE",1
"3693","LORD","BEECH WOODS",1
"3694","MOONLIGHT","ANTENNA",1
"3695","WRAPPING","LAWSON",1
"3696","CINDY","BARON",2
"3697","COHEN","CINDY",1
"3698","ROXANNE","ROXANNE",1
"3699","SPOKESWOMAN","TINA",1
"3700","STATESMAN","BOISE",1
"3701","TINA","BARNYARD",1
"3702","HARASS","WHOEVER WHATEVER",1
"3703","CRUMBLE","BAG NOT",1
"3704","HUNK","MADE",1
"3705","INTERCEPT","TIME AROUND",1
"3706","JUVENILE","WHALEBOAT",1
"3707","LEASH","ORIENTATE",1
"3708","ROAD INTERSECTS","BEAVER",1
"3709","BOSE","ALCOHOLISM",1
"3710","SASKATCHEWAN","IMAGINABLE",1
"3711","STRAITEN","DOWNGRADE",1
"3712","FINGERPRINT","SMUDGE",1
"3713","NEXT DOOR","TRANSLUCENT",1
"3714","ANNAPOLIS","SAFE RAN",1
"3715","ANNE","ROUNDEL",4
"3716","SAFE RAN","PEPPING",1
"3717","AWAY WE","US STOOD",1
"3718","MIDSUMMER","WEEN",1
"3719","CAPITOL","NAVAL",1
"3720","NAVAL","ACADEMY",1
"3721","RODENT","SEVERN",1
"3722","ROUNDISH","BICEP",1
"3723","SEVERN","ANNAPOLIS",1
"3724","DWARF","SHOE SIZE",1
"3725","WEB PAGE","ANNE",1
"3726","DIAPER","GRIPPE",1
"3727","OXBOW","ACTIVITY NONE",1
"3728","SOUND IT","ODOR HARD",1
"3729","DITHER","TODAY REPORTING",1
"3730","ROUNDEL","HOWARD",1
"3731","WOODS NEVER","AWESOME",1
"3732","STIRRING","IGNORANT",1
"3733","DOST","FIREFLY",1
"3734","FIREFLY","LARVAE",2
"3735","FRENZY","SHINNING",1
"3736","NICAEA","OTTAWA",1
"3737","OTTAWA","ACRE",1
"3738","PISTOL SLOWLY","PRINTS NOTHING",1
"3739","SQUASH","WINDOW IT",1
"3740","STEP SPACING","THEM DELIBERATE",1
"3741","THEM DELIBERATE","ATTENTION IT",1
"3742","FIRE STEEL","GREENLAND",1
"3743","SIERRA","WEB PAGE",1
"3744","APE MAN","EVOLUTIONARY",1
"3745","EVOLUTIONARY","RUN SIT",1
"3746","ODOR WHEN","WINDOW MY",1
"3747","RADIOTHERAPIST","PORCH THE",1
"3748","LEVERAGE","HOPELESS",1
"3749","MUSTACHE","LIPPED",1
"3750","OUTPACE","UNSMILING",1
"3751","RED WINGS","ROBIN",1
"3752","ROBIN","CARDINAL",1
"3753","UNKEMPT","MOP LIKE",1
"3754","KIM","FLEMING",2
"3755","PONY","PONY",1
"3756","CASUALLY CAN","FUR WALKING",1
"3757","PITY","REV",1
"3758","CHOREA","LIEUTENANT",1
"3759","DRILLING POUNDING","EQUATE",1
"3760","EQUATE","SOLO",1
"3761","LIEUTENANT","COLONEL",1
"3762","SHINNING","PAVEMENT THEY",1
"3763","BIKES MOTORCYCLES","MARQUETTE",1
"3764","PELT","HURDLE",1
"3765","BOGGY","FOAL",1
"3766","FOAL","WET MORE",1
"3767","BEST FRIEND","ERIK",1
"3768","ERIK","SNOWSHOE",1
"3769","MARQUETTE","PASSIONATE",1
"3770","PASSIONATE","BEST FRIEND",1
"3771","HACKLE","ORIN",1
"3772","MYRIAD","STOUTHEARTED",1
"3773","TAKEN","PANORAMIC",1
"3774","WEATHERMEN","HUSBANDMAN",1
"3775","MARIONETTE","WALLEYE",1
"3776","MENOMINEE","MARIONETTE",1
"3777","VOLCANO","NORWAY",1
"3778","NEW BURG","EAST BOUND",1
"3779","TRAUMATIZE","FORGETTABLE",1
"3780","ATLANTA","GAY LORD",1
"3781","GAY LORD","ALHENA",1
"3782","VENUE","MARE",1
"3783","RIG","BEEN THOUGHT",1
"3784","SODDEN","WAS WAS",1
"3785","WAS WAS","RIG",1
"3786","MACKINAW","HURON",1
"3787","MCKINLEY","USABLE",1
"3788","MOI","MCKINLEY",1
"3789","BULL GAP","STAT ELAND",1
"3790","DAYLIGHT AROUND","ROUNDED WHICH",1
"3791","EYESIGHT","LURE",1
"3792","FLAT NOT","DISTORT",1
"3793","MAN SHAPED","BIGGEST",1
"3794","OFFLOAD","VAT",1
"3795","ROUNDED WHICH","FLAT NOT",1
"3796","THERETO","NORTH SOUTH",1
"3797","WWW","WRESTLE",1
"3798","PASTRY","THINE",1
"3799","SMITH","RAG",1
"3800","BLACK BEAR","HIBERNATE",1
"3801","FLOOR THEN","ANYONE NOBODY",1
"3802","EVERGREEN","EASEMENT",1
"3803","OB SERVANT","TAWNEY",1
"3804","PLAYGROUND","KALAMAZOO",1
"3805","ASPEN","EVERGREEN",1
"3806","OS CODA","OS CODA",1
"3807","DUMBFOUND","MIN BEFORE",1
"3808","COLLABORATE","COMPARED THAT",1
"3809","FABRICATE","HALLUCINATE",1
"3810","HALLUCINATE","STIRRED",1
"3811","SOCIOLOGY","ANTHROPOLOGY",1
"3812","BLEAK","SPRAYER",1
"3813","RINSE","BLEAK",2
"3814","SPRAYER","NICKLE",1
"3815","BOTHERATION","ADRIAN",1
"3816","REGRETTED","CALLER",1
"3817","ALLEN","HOGBACK",2
"3818","BROWNSVILLE","ALLEN",1
"3819","BUZZ","BUZZ",1
"3820","CONTRABAND","PREY",1
"3821","PREY","DEWBERRY",1
"3822","AGATE","AGATE",1
"3823","JO KINGLY","REFERRING",1
"3824","MAGNIFY","DISCERN",1
"3825","UNACCEPTABLE","SIGNER",1
"3826","WHOLEHEARTED","MID AFTERNOON",1
"3827","HEMLOCK","CEDER",1
"3828","JACK PINE","PLANTATION",1
"3829","PLANTATION","VENISON",1
"3830","TIPSY","STEERSMAN",1
"3831","FRANKENSTEIN","WOLF MAN",1
"3832","HER THREATEN","BEWILDER",1
"3833","LOOKING IT","TENDON",1
"3834","MASCULINE","LOOKING IT",1
"3835","MUST'VE","DIFFIDENT",1
"3836","WEENIE","TOAST",1
"3837","HILLS DALE","LENA WEE",1
"3838","SECTION AND","ABOUT THE",1
"3839","GRUNT GROWL","MOOT",1
"3840","STUTTER","FRANTICALLY",1
"3841","BLACK BROWN","FOUR FOOTED",1
"3842","CR","LANG FORD",1
"3843","LANG FORD","ROMERO",1
"3844","ROMERO","MOOSE HEAD",1
"3845","VA","BAFFLE",1
"3846","VIRGINIA","FACET",1
"3847","MINUTES THEY","BLINKED SUDDENLY",1
"3848","CABANA","DICKENS ON",1
"3849","MINNESOTA","ICEMEN",1
"3850","SCUFF","SHEPARD",1
"3851","OUT FORWARD","JOGGER",1
"3852","SHEDDING","GLOOM",1
"3853","STRAND","SHEDDING",1
"3854","AMPLE","WOBBLE",1
"3855","WASTEWATER","VACANT",1
"3856","BATTLE CREEK","GOLDWATER",1
"3857","KALAMAZOO","BATTLE CREEK",1
"3858","CLARITY","CREDIBLE",1
"3859","SHRUB LINE","DISTURBED",1
"3860","SUCKLE","LAUGH LIKE",1
"3861","COLORLESS","TROTTED",1
"3862","INTERLOCUTOR","REYNOLDS",1
"3863","SOMEPLACE","NASTILY",1
"3864","NUDGE","SNARE",1
"3865","OTTER","CRISP",1
"3866","REMODEL","FROST",1
"3867","LOVELESS","CRAWFORD",1
"3868","SOLITAIRE","KEROSENE",1
"3869","THIS PERHAPS","RELEVANCE",1
"3870","WACK","WHACK",1
"3871","GRAVES","LAKE VIEW",1
"3872","LAKE VIEW","CABANA",1
"3873","PAN ICKY","COUNCILOR",1
"3874","GALATIANS","CHAR",1
"3875","SNOWMOBILE","BROOKLYN",1
"3876","HR","RATTLE",1
"3877","AVAIL","FOOT AND",1
"3878","AWAY CLOSER","WOODS ALSO",1
"3879","BEACH EXCEPT","VISIBLE ONLY",1
"3880","FOOT AND","SNOW COVERED",1
"3881","NONSENSE","SITE PHOTOGRAPHIC",1
"3882","OTHER ABOUT","AWAY CLOSER",1
"3883","VISIBLE ONLY","MILLIMETER",1
"3884","KYLE","PHIL",1
"3885","EXERT","ITSELF AND",1
"3886","GARAGE TOWARD","WERE AND",1
"3887","LEFTY","ZERO",1
"3888","PUG","BACKDOOR",1
"3889","WERE AND","SOMETHING AND",1
"3890","RUDOLPH","TRAVERSE",1
"3891","SLY","SKIM",1
"3892","LANDOWNER","LANDLORD",1
"3893","TAMARACK","PRATTLE",1
"3894","DICT","HIAWATHA",1
"3895","FORESTLAND","RHUBARB",1
"3896","GAME THIS","KICKER WE",1
"3897","HIAWATHA","FORESTLAND",1
"3898","RHUBARB","GAME THIS",1
"3899","PONDER","CANT",1
"3900","SPRINGILY","MAY WITH",1
"3901","CAD","BROWN BLACK",1
"3902","UP LITERALLY","G",1
"3903","WOODSMAN","TIMBER WOLF",1
"3904","HIGHLAND","PAC",1
"3905","BANSHEE","SCREAMING THE",1
"3906","LAKE AFTER","SCREAM WE",1
"3907","NOISE IT","LAKE AFTER",1
"3908","SCREAMING THE","SHORE BEACH",1
"3909","MN","ROCKFORD",1
"3910","ROCKFORD","IL",1
"3911","HOARSE","YIPPING",1
"3912","LAMB","NINA MOOSE",1
"3913","RAMS HEAD","CASCADE",1
"3914","ROY","HEAD FIRST",1
"3915","CACOPHONY","LOON",1
"3916","OMNIPRESENT","DREAD",1
"3917","LAIR","BEREAVE",1
"3918","LANK","NPR",1
"3919","NPR","IDAHO",1
"3920","BROWNISH RED","TYPIFY",1
"3921","JIBBING","SILVERY GRAY",1
"3922","NETTING","OUTFIGHT",1
"3923","NEWFANGLED","NETTING",1
"3924","JEANETTE","MINNESOTA",1
"3925","CONSPICUOUS","TWITTER",1
"3926","OLD RIDING","HONDA",1
"3927","ROAD THE","OVERGROWN",1
"3928","THROTTLE","PEG",1
"3929","HATCHET","EVENING MORNING",1
"3930","CAVEMAN","DEFORMED LOOKING",1
"3931","THIRTEEN","HUMAN TYPE",1
"3932","PERIPHERY","AGUE",1
"3933","OBNOXIOUS","OBNOXIOUS",1
"3934","BREED","ENLARGEABLE",1
"3935","CHASM","SHEW",1
"3936","STEW","LEA",1
"3937","GEORGETOWN","SC",2
"3938","CAROLINGIAN","YARDS AHEAD",1
"3939","CHICHI","SHAW",1
"3940","SC","CHICHI",1
"3941","SEEMED QUITE","SULKY",1
"3942","APT CLEAN","HOME SOMETIMES",1
"3943","COLOR UNTIL","SIGHT TALKING",1
"3944","HOME SOMETIMES","NEON",1
"3945","MOLDY","WESLEYAN",1
"3946","RIGHTO","SIDE MOVING",1
"3947","SIC","MOLDY",1
"3948","SORRY BUT","RECTILINEAR",1
"3949","WHITISH","RIGHTO",1
"3950","DRAGGING","PRINTS SIMILAR",1
"3951","CT","RI",1
"3952","BOYFRIEND SEEN","ROD EWE",1
"3953","SIGHTING HAD","TIME WENT",1
"3954","TIME WENT","SKINT",1
"3955","HANNAH","INVOLUNTARY",1
"3956","SHOULDER WENT","HANNAH",1
"3957","SIDE GOING","IRVINE",1
"3958","SOMETHING BUT","WHIRLWIND",1
"3959","FACET","SPIGOT",1
"3960","MOLD","MOLD",1
"3961","CHIPPEWA","FOREST THESE",1
"3962","YELP","WHOOPS THESE",1
"3963","FLAPPING","WINGS WAS",1
"3964","BLACKTOP","CENTER LINE",1
"3965","SATEEN","COOPER",1
"3966","PATROLLING","SERPENTINE",1
"3967","GRANDDADDY","MOONSHINE",1
"3968","COWER","ATTIC",1
"3969","RAPID FIRE","CREAK",1
"3970","DEE","MECHANISTICALLY",1
"3971","FILLIP","PANICKED",1
"3972","WOODROW","REPETITIVE",1
"3973","SCORN","GROUND THE",1
"3974","SPOTLIT","SCORN",1
"3975","BACKSIDE","IT YOU",1
"3976","ANYTHING THE","MINUTES THEN",1
"3977","GRANDDAD","GRAND MOM",1
"3978","DEFINABLE","THOUGH AFTER",1
"3979","FRANCIS","MARION",1
"3980","HUNTER THEN","SAW BECAUSE",1
"3981","MARION","FLEAPIT",1
"3982","PHOTOGRAPH WHILE","FRANCIS",1
"3983","SAW BECAUSE","HAPPENSTANCE",1
"3984","THOUGH AFTER","TOWHEE",1
"3985","TOWHEE","MT PLEASANT",1
"3986","TRAIL IT","DEFINABLE",1
"3987","ALLIGATOR","INFEST",1
