"","V1","V2"
"6969","NOTES THE",1
"6970","FEET THEY",1
"6971","ANCHORAGE",2
"6972","DENALI",2
"6973","EUTECTIC",1
"6974","FAIRBANKS",5
"6975","GROUND IT",2
"6976","HAIR AT",1
"6977","PORCUPINE",7
"6978","STERLING",2
"6979","KENNITH",1
"6980","SNOWFIELD",2
"6981","ALBEIT",3
"6982","ATHABASCA",1
"6983","CORNBALL",1
"6984","GOLD STREAM",2
"6985","TROTTING",12
"6986","CHINA",4
"6987","CLUMPY",2
"6988","HIND LEGS",2
"6989","NON COMMISSIONED",1
"6990","PIGEON TOED",1
"6991","CHOPPY",1
"6992","FLAGGED",3
"6993","PROPELLED",3
"6994","SIGHT LINES",1
"6995","NON RECOGNIZABLE",1
"6996","SPOTLESS",3
"6997","ALAN",1
"6998","BRIDGEABLE",1
"6999","CATARRH",2
"7000","RUST BROWN",1
"7001","WALK ARMS",1
"7002","DOMESTICATE",1
"7003","DOUBTLESS",1
"7004","EVENTUALITY",1
"7005","EXCERPT",7
"7006","EXPEND",1
"7007","GRAVEYARD",27
"7008","INCLUSIVE",1
"7009","LOYD",1
"7010","MULTITUDE",3
"7011","SASSY",1
"7012","VALDEZ",1
"7013","BONGO",2
"7014","CLYDESDALE",4
"7015","FIREBALL",2
"7016","GETTYSBURG",5
"7017","GREEN MOUNT",1
"7018","HOOVES",11
"7019","THEM THE",5
"7020","LIGHTNESS",1
"7021","MICH AUX",1
"7022","BAGGY",4
"7023","AMT",11
"7024","HOOF PRINTS",2
"7025","CLAIR TON",2
"7026","CURSE",4
"7027","HILLSIDE IT",1
"7028","RAVENS BURG",2
"7029","STUNNED SHOCKED",1
"7030","BISON",4
"7031","GRAPEVINE",3
"7032","AMANDA",1
"7033","PART SOMETHING",1
"7034","TOMMY",5
"7035","ASTIGMATISM",1
"7036","NIAGARA",1
"7037","FULL GROWN",2
"7038","QUAKER TOWN",1
"7039","BATHHOUSE",1
"7040","MONKEYSHINE",1
"7041","PLUCKY",1
"7042","THICKO",1
"7043","CLOTHE",8
"7044","LEVI TOWN",1
"7045","ARTHUR",2
"7046","ROMAINE",1
"7047","LARGE THAT",1
"7048","GREENISH YELLOW",1
"7049","TANTALIZE",1
"7050","HEREAFTER",2
"7051","SNOWBALL",1
"7052","SNOW MACHINE",1
"7053","SNOW MACHINING",1
"7054","LILIANA",1
"7055","CORRELATE",2
"7056","AIR SHAFT",2
"7057","CLAPPED",4
"7058","IMAGO",1
"7059","LUDO",1
"7060","TYSON",3
"7061","HEFT",2
"7062","CACTUS",2
"7063","GRAPESHOT",1
"7064","HERALD",2
"7065","MONGOLOID",1
"7066","PIEDMONT",1
"7067","PLODDED",1
"7068","ALKALINE",1
"7069","ATTACK THE",1
"7070","BALLCOCK",1
"7071","BENT THE",1
"7072","COMPREHEND",9
"7073","COMPRESSION",2
"7074","ENGLAND",7
"7075","EXPLOSIVE",4
"7076","GATEWAY",3
"7077","ME PITCH",1
"7078","MEAL BOOK",1
"7079","OVERT",3
"7080","PRIMATE THE",1
"7081","SIDE IT",2
"7082","SIDE MORE",1
"7083","URIC",1
"7084","CLOTHESPIN",2
"7085","COIL",4
"7086","FAREWELL",2
"7087","TENT FORT",1
"7088","TENT LIKE",1
"7089","WADE",2
"7090","BARRENS THE",1
"7091","BEAR NOW",1
"7092","BREATHING THIS",1
"7093","CHIPPING",3
"7094","DRUNKEN",1
"7095","EXCLAMATION",1
"7096","HAPPENED WHATEVER",1
"7097","IMPRINTS ONLY",1
"7098","IT HAIR",1
"7099","LACONIC",2
"7100","LIE SURLY",1
"7101","MAINE IT",1
"7102","MYSELF THIS",1
"7103","SCREAM YOU",1
"7104","TENT THIS",1
"7105","TRACKS THERE",1
"7106","UH OH",1
"7107","ALB",4
"7108","BAXTER",2
"7109","DANNY",9
"7110","DRUMMING",5
"7111","EDITORIAL",2
"7112","FIFTY POUND",1
"7113","FOOTLING",1
"7114","GUFFAW",1
"7115","HEATSTROKE",1
"7116","HELOISE",1
"7117","IMPART",1
"7118","MANUAL",2
"7119","NA TICK",1
"7120","PARTRIDGE",3
"7121","PHYSIOLOGIST",1
"7122","PHYSIOLOGY",2
"7123","VETCH",2
"7124","WOLFE",3
"7125","ASHURBANIPAL",2
"7126","GARDNER",1
"7127","GALLEY",3
"7128","RIGHTSIZE",2
"7129","CARLTON",3
"7130","OXFORD",2
"7131","WEBSTER",3
"7132","ABUTTING",1
"7133","ATLANTIC",4
"7134","AUTOMATE",2
"7135","BELL YUP",1
"7136","COMMENCE",4
"7137","CT",9
"7138","EARLIER POSSIBLY",1
"7139","FRACTURE",1
"7140","POLYGRAPH",7
"7141","RAINSTORM",3
"7142","RHODE",2
"7143","RI",3
"7144","SWAMP SCARLET",1
"7145","WHITE YELLOW",1
"7146","WOVEN LOOKING",1
"7147","AFB",9
"7148","GO SEEK",1
"7149","HIDE AND",1
"7150","SIT EWE",2
"7151","SOUND SIT",2
"7152","SPOT WATCHING",1
"7153","WASATCH",4
"7154","FYI",4
"7155","MEN",4
"7156","MEYER",2
"7157","NIGH",1
"7158","OF COURSE",3
"7159","OGDEN",4
"7160","MAGPIE",3
"7161","PINE VIEW",1
"7162","CONTOURED NO",1
"7163","JAGGED",6
"7164","SHAWL",2
"7165","SIX BIT",1
"7166","CHOKECHERRY",5
"7167","CRISCO",8
"7168","MONTE",7
"7169","ADVANTAGEOUS",1
"7170","EVENNESS",1
"7171","HARDEN",3
"7172","KNUCKLE WALKING",1
"7173","MEETUP",1
"7174","PARALLELOGRAM",1
"7175","ROY",6
"7176","DELMARVA",1
"7177","PERMITTING",2
"7178","UNACCOUNTABLY",1
"7179","WI",17
"7180","GRAND VIEW",3
"7181","PICK NICK",1
"7182","DARRELL",3
"7183","DICK",1
"7184","YAKIMA",15
"7185","BEDROLL",1
"7186","CANNY",8
"7187","COWCATCHER",1
"7188","DREAM NIGHTMARE",1
"7189","HARROW",1
"7190","LETHAL",3
"7191","MISADVENTURE",1
"7192","MISINTERPRET",1
"7193","RE LOADING",3
"7194","STANDOFF",2
"7195","TAGGED",4
"7196","VENISON",4
"7197","WAPITI",2
"7198","WEATHER BY",2
"7199","WHISTLE HOWL",1
"7200","WIMP",2
"7201","SWOOP",7
"7202","COUNTEROFFENSIVE",2
"7203","DRY LIGHTING",1
"7204","GRUNT HUFFING",1
"7205","DECIDED",3
"7206","DOWNRANGE",1
"7207","TRACK WHISTLE",1
"7208","EN ROUTE",3
"7209","FELICITATE",2
"7210","INGLEWOOD",2
"7211","BELLA RING",1
"7212","AGO IT",1
"7213","ALL LOOKED",1
"7214","BAREHANDED",1
"7215","DEFINABLE",5
"7216","GRUNT SCREAM",1
"7217","PERIPHRASTIC",1
"7218","ANTICLOCKWISE",1
"7219","ARTWORK",1
"7220","BEANIE",3
"7221","BIG FOOTERS",1
"7222","BLOCKAGE",1
"7223","BREASTSTROKE",1
"7224","CAB FRO",1
"7225","CHECKER",1
"7226","CHINOOK",5
"7227","CONGREGATE",6
"7228","CONSOLIDATE",2
"7229","CONVULSE",1
"7230","DEXTEROUS",1
"7231","DISCREPANCY",1
"7232","DOGLIKE",1
"7233","EXTREMITY",3
"7234","FINGER SNAPPING",1
"7235","FLANNEL",1
"7236","FULL BODY",1
"7237","GUITAR PLAYING",1
"7238","HANDHELD",5
"7239","HEAT SENSING",1
"7240","IMPRESSIONIST",1
"7241","INTERLOCK",1
"7242","IRRECOVERABLE",1
"7243","JAMIE",3
"7244","LEFT OPPOSITE",1
"7245","LIMITATIONS",1
"7246","LOITER",2
"7247","MAKE EITHER",1
"7248","MID TO",1
"7249","MINIVAN",5
"7250","NIGHTCLOTHES",1
"7251","NON CONDUCIVE",1
"7252","NOTE ALL",1
"7253","PANTHEON",1
"7254","PAUSE FREEZE",1
"7255","PINE NEEDLE",1
"7256","PLUGIN",1
"7257","PRECONCEIVE",1
"7258","PROPRIETARY",1
"7259","PURPORT",6
"7260","RAIN SOAKED",1
"7261","RAINIER",24
"7262","RE PACKING",1
"7263","REACTIONARY",1
"7264","READER VIEWER",1
"7265","RECURRING",2
"7266","REGRETTABLE",1
"7267","REMARKABLY",3
"7268","RENDITION",4
"7269","SAGITTARIUS",2
"7270","SIZE BEHAVIOR",1
"7271","SKINNING",4
"7272","SMALLISH ROUNDER",1
"7273","STEMMED",1
"7274","STEP BRANCH",1
"7275","STRATEGICAL",2
"7276","STROKE LIKE",1
"7277","SUBSTRATE",1
"7278","THERMAL",29
"7279","TRANSITIONAL",1
"7280","TWO PLUS",2
"7281","UNIFORMED LIKE",1
"7282","UNIMPRESSIVE",1
"7283","UPCOUNTRY",1
"7284","UPPER BODY",1
"7285","VET",8
"7286","WAFER",13
"7287","WARDROBE",1
"7288","WHITEOUT",3
"7289","WOOD KNOCKING",2
"7290","XX",8
"7291","RY THEM",2
"7292","GD",1
"7293","ME ABOUT",1
"7294","THROWN AT",2
"7295","TRIP SAME",1
"7296","FULL FRONTAL",1
"7297","GAMBLE",3
"7298","PATIENTLY",1
"7299","SKEET",4
"7300","ADAMANT",7
"7301","ADVENTUROUS",2
"7302","BREEZY ALL",1
"7303","BUNCH BERRY",1
"7304","CAPABILITIES",4
"7305","CLACK CLACK",4
"7306","COUGAR SWAMP",1
"7307","COY",13
"7308","ENCOUNTER IF",1
"7309","FANATIC",2
"7310","FROM DIRECTLY",1
"7311","GIBBOUS",1
"7312","INFLATE",2
"7313","JENNIFER",2
"7314","LEGS NOTHING",1
"7315","MAYBE JUST",1
"7316","ME WHAT",1
"7317","MOUNTAINTOP",4
"7318","NIBBLE",3
"7319","OUTGO",2
"7320","PETTING",1
"7321","PICNICKING",3
"7322","SAMPSON",1
"7323","SLIPPER",3
"7324","STAMPEDE",10
"7325","WIDE EYED",4
"7326","BLANKENSHIP",2
"7327","MAGGIE",1
"7328","SWOOSH",2
"7329","BORON",1
"7330","CRACKPOT",1
"7331","GENUS",1
"7332","TAILGATE WE",1
"7333","BOARDWALK",3
"7334","DOZ",18
"7335","EDDY",4
"7336","MANAMA",1
"7337","MARSH BRUSH",1
"7338","HOMEOWNER PROPERTY",1
"7339","COD",5
"7340","MASH PEE",3
"7341","EAST IT",1
"7342","MD",8
"7343","WHITE SILVERY",1
"7344","WORCESTER",1
"7345","POTOMAC",7
"7346","AGAPE",1
"7347","ANGULAR",2
"7348","EARLIER MAYBE",1
"7349","NASA",2
"7350","VINDICATE",3
"7351","AQUEDUCT",1
"7352","RANCH STYLE",1
"7353","AIR THE",2
"7354","APE GOT",1
"7355","BIDDING",2
"7356","EDGE WOOD",3
"7357","FENCE IT",1
"7358","FENCE ON",1
"7359","HAPPENED THE",2
"7360","HURRY IT",1
"7361","PAPER SHE",1
"7362","SIGHTING THEY",1
"7363","RUSTIC",3
"7364","SUBMARINE",2
"7365","TOCANTINS",2
"7366","QUADRUPED",5
"7367","BIRDSONG",1
"7368","CUR PLUNK",1
"7369","MILT",3
"7370","MN",22
"7371","OJIBWA",3
"7372","ANIMAL REMINDED",1
"7373","PATAGONIA",1
"7374","POLICE THE",1
"7375","SMELL KIND",1
"7376","SOUND HARD",1
"7377","STICKLER",1
"7378","WIZ",1
"7379","CARROLL TON",1
"7380","COMPRESS",6
"7381","ESTIMATOR",1
"7382","FARRIER",1
"7383","BEAR HE",2
"7384","CAMEL",2
"7385","MILE LONG",1
"7386","AROUND LIGHTING",1
"7387","BALTIMORE",3
"7388","BRIAN WE",1
"7389","CHRIST",4
"7390","DEER IF",1
"7391","ENCOUNTER THE",1
"7392","FALLS TON",1
"7393","GUN POWDER",4
"7394","HARTFORD",2
"7395","JASON",12
"7396","LAUREL BROOK",1
"7397","OMANI",2
"7398","PLOP",2
"7399","TOM MYS",1
"7400","JERUSALEM",1
"7401","BENNETT",6
"7402","PPM",4
"7403","LEDGE THAT",1
"7404","CLAPPING",5
"7405","MEDITATE",1
"7406","AARON",4
"7407","BRYAN",6
"7408","PONCHO",4
"7409","SIGNER",2
"7410","STRAUSS",1
"7411","TOPOGRAPHIC",3
"7412","CALUMET",1
"7413","EDWARD",5
"7414","LOW DENS",1
"7415","GRUBBING",2
"7416","NEE",1
"7417","NONEXISTENT",3
"7418","SAW NEVER",1
"7419","BERKSHIRE",1
"7420","WATERBURY",2
"7421","WC",1
"7422","DARK UNEVENTFULLY",1
"7423","GEORGIA",46
"7424","HANOVER",1
"7425","TELECAST",2
"7426","DEAN",6
"7427","CHESHIRE",1
"7428","CLASP",5
"7429","GREY LOCK",1
"7430","HARBOR",11
"7431","NONRHYTHMIC",1
"7432","ROCKWELL",1
"7433","BARLEY",1
"7434","FREETOWN",1
"7435","CROWLEY",2
"7436","DUMBFOUND",13
"7437","DUNK",3
"7438","TANNED",3
"7439","BACKSTOPPING",1
"7440","BEAVER TAIL",1
"7441","HAPHAZARD",1
"7442","INEDIBLE",1
"7443","MOB",10
"7444","SALLY",1
"7445","MAPPED",1
"7446","WEST FIELD",1
"7447","DEER THE",2
"7448","MERCIFUL",1
"7449","NONDENOMINATIONAL",2
"7450","NONPRESCRIPTION",1
"7451","PENETRATE",10
"7452","STREET THERE",1
"7453","WEB SIGHTS",1
"7454","WIDTH OF",1
"7455","RASTA",1
"7456","WHOLEHEARTED",3
"7457","AWAY NEVER",1
"7458","AWAY THERE",1
"7459","BEING HE",1
"7460","HAIR SURPRISINGLY",1
"7461","HILL IN",1
"7462","THINK BUT",1
"7463","BERETTA",1
"7464","CLEAR WATER",2
"7465","FIRE WARMED",1
"7466","GROANING BARKING",1
"7467","HANDOVER",2
"7468","MICROLIGHT",1
"7469","MOOSE OR",1
"7470","NIMBY",1
"7471","RICHARDSON",1
"7472","WEATHER OR",1
"7473","WOODCHUCK",1
"7474","ANDROGENIC",3
"7475","BLAINE",6
"7476","BRENT",1
"7477","CAIRO",2
"7478","CHIC",5
"7479","CHIMP LIKE",2
"7480","CHIMPANZEE LIKE",1
"7481","COUNTERFACTUAL",2
"7482","CUMBERLAND",6
"7483","DOWNS",4
"7484","DURHAM",2
"7485","FOOTMAN",3
"7486","GORILLA LIKE",6
"7487","HAYNES",1
"7488","HUNTINGTON",18
"7489","JEAN",4
"7490","LC",5
"7491","LISBON",1
"7492","MERRILL",2
"7493","TAMMY",1
"7494","TELEGRAM",2
"7495","WASH BURN",3
"7496","PARATROOP",3
"7497","TURNER",17
"7498","AM BUSH",4
"7499","AREA IT",2
"7500","BIOTIN",1
"7501","DEER THIS",2
"7502","DR",20
"7503","FEMALE THE",1
"7504","FRIEND AFTER",1
"7505","GNAT",2
"7506","GRASS NEITHER",1
"7507","LEGENDARY",8
"7508","LICENSES ONE",1
"7509","MOVE OFF",1
"7510","QUIETLY ID",1
"7511","ROAR SCREAM",2
"7512","SHOT ALL",1
"7513","SPEED WE",1
"7514","STEERSMAN",5
"7515","TOGETHER HE",1
"7516","TRUCK WHEN",1
"7517","WOODS ONE",1
"7518","BARKING AND",1
"7519","HOWL DOGS",1
"7520","ON CONTINUES",1
"7521","VOICE HOWL",1
"7522","ANTIQUE",3
"7523","BE HAVING",1
"7524","CELSIUS",1
"7525","COCA COLA",1
"7526","CONDOMINIUM",2
"7527","CONVERSE",1
"7528","COOKOUT",4
"7529","COOPER",7
"7530","DINNERTIME",1
"7531","ELLS WORTH",1
"7532","HILLS DALE",3
"7533","KILOMETER",4
"7534","LAGGING",1
"7535","MONTICELLO",2
"7536","NAMESAKE",1
"7537","PACKARD",3
"7538","PITTS FIELD",1
"7539","SALINE",3
"7540","WETLAND",14
"7541","YPSILANTI",2
"7542","ANDY",4
"7543","KINGSTON",5
"7544","BALSAM",2
"7545","DOUBLEHEADER",1
"7546","POPLAR",7
"7547","SLAT",8
"7548","HELEN",10
"7549","ANTI",1
"7550","ANYWAY REAL",1
"7551","APELIKE WE",1
"7552","CHI",11
"7553","HOEDOWN",1
"7554","IRREMOVABLE",1
"7555","KICKY",7
"7556","LOT WHAT",1
"7557","PICARESQUE",3
"7558","POSITION TALL",1
"7559","ROAD HALF",1
"7560","TO OWE",1
"7561","WHY SHE",1
"7562","ALHENA",4
"7563","ANTHEM",1
"7564","FLIP FLOPS",1
"7565","FULL MOON",1
"7566","HURON",4
"7567","OVER EXACTLY",1
"7568","POWERFUL MENACING",1
"7569","RATIONALIZE TAKE",1
"7570","SHORTSTOP",1
"7571","STILL QUIET",1
"7572","TWIGS BRANCHES",1
"7573","URGENCY",2
"7574","PARTAKE",2
"7575","RIGHT THE",1
"7576","STRIDE WHAT",1
"7577","TRAIL SWAMP",1
"7578","EASY WHEN",1
"7579","GRUNT SIT",1
"7580","TINGE",2
"7581","WOODS NEVER",2
"7582","COMMONS",3
"7583","DOGMA",1
"7584","AM THIS",1
"7585","ARMS BEAR",1
"7586","BROAD IT",1
"7587","BROAD MANLIKE",1
"7588","CLEARLY IT",1
"7589","COLD THERE",1
"7590","DOWNWARDS THESE",1
"7591","DRIVING WE",1
"7592","GLOW WE",1
"7593","KNOLL BETWEEN",1
"7594","MARQUETTE",6
"7595","NOT BUT",2
"7596","OPEN WE",1
"7597","POUF",1
"7598","ROAD BUT",1
"7599","SAWYER",2
"7600","SWEENEY",4
"7601","TRACKS WE",2
"7602","UNENTERPRISING",1
"7603","CAR SEATS",1
"7604","HIAWATHA",6
"7605","MARTINIQUE",5
"7606","MINNEAPOLIS",1
"7607","NONACADEMIC",1
"7608","NORTHERNMOST",1
"7609","RECEPTACLE",1
"7610","AFFIRMATIVE",1
"7611","BLUEGILL",1
"7612","MI HR",1
"7613","TOPOGRAPHICAL",1
"7614","BIRD SHOT",1
"7615","FIESTA",1
"7616","POPPY",3
"7617","GULLIVER",2
"7618","LIGHT POLES",1
"7619","WOODCRAFT",2
"7620","GRUNT HOWL",1
"7621","SCHOOL CRAFT",2
"7622","WET MORE",2
"7623","ANTENNA",1
"7624","BEECH WOODS",1
"7625","WRAPPING",1
"7626","ARMS BETWEEN",1
"7627","BARNYARD",1
"7628","CINDY",13
"7629","COHEN",1
"7630","MICHIGANDER",2
"7631","NEWSSTAND",1
"7632","PITCH BLACK",1
"7633","REDYE",2
"7634","REFERRING",9
"7635","ROXANNE",6
"7636","SPOKESWOMAN",1
"7637","STATESMAN",1
"7638","TINA",10
"7639","YALE",3
"7640","CLAIR",2
"7641","FIRESIDE",2
"7642","GOO DELLS",1
"7643","INDIVIDUALIZE",1
"7644","DEAR BORN",1
"7645","SEMI RURAL",2
"7646","WHOEVER WHATEVER",2
"7647","BAG NOT",1
"7648","GEODE",2
"7649","WASHERWOMEN",1
"7650","GERMINAL",1
"7651","MADE",2
"7652","PINKEYE",1
"7653","ARSING",3
"7654","FLETCHER",1
"7655","LEASH",2
"7656","OR BAYED",1
"7657","ORIENTATE",1
"7658","ROAD INTERSECTS",1
"7659","SEARING",3
"7660","SKITTISHNESS ESPECIALLY",1
"7661","TIME AROUND",1
"7662","WHALEBOAT",1
"7663","CADILLAC",1
"7664","CEDER",7
"7665","RAYMOND",2
"7666","ALCOHOLISM",2
"7667","ARCHENEMY",1
"7668","BOSE",1
"7669","DOWNGRADE",1
"7670","FORESTER",2
"7671","IMAGINABLE",2
"7672","SASKATCHEWAN",1
"7673","STOIC",2
"7674","UPTON",1
"7675","BELIEVER BUT",1
"7676","NEXT DOOR",3
"7677","SMUDGE",6
"7678","TAPPING",8
"7679","TOE PRINTS",3
"7680","TRANSLUCENT",1
"7681","ANNE",4
"7682","PEPPING",1
"7683","ROUNDEL",4
"7684","SAFE RAN",1
"7685","SEVERN",5
"7686","ADMIRAL",1
"7687","BIT WHENEVER",1
"7688","CLEARLY WHAT",1
"7689","US STOOD",1
"7690","WEEN",1
"7691","WOOD SAT",2
"7692","SHIPPER",2
"7693","YEAR IT",1
"7694","ACADEMY",2
"7695","CAPITOL",3
"7696","NAVAL",3
"7697","SHOE SIZE",2
"7698","SHUT UP",1
"7699","WEB PAGE",2
"7700","CHURCHMAN",1
"7701","GIBBERISH",13
"7702","ACTIVITY NONE",1
"7703","ODOR HARD",1
"7704","OXBOW",2
"7705","SOUND IT",4
"7706","WATCHED NO",1
"7707","WHAT WHERE",3
"7708","BROCK",21
"7709","DITHER",1
"7710","DUSK LIKE",1
"7711","HOWARD",4
"7712","TODAY REPORTING",1
"7713","TEMPORARILY",2
"7714","WOODY",4
"7715","FIREFLY",2
"7716","LARVAE",2
"7717","ACRE",2
"7718","NICAEA",1
"7719","OTTAWA",5
"7720","HASTY",4
"7721","ATTENTION IT",1
"7722","BEFOREHAND",5
"7723","MAY BEAM",1
"7724","PISTOL SLOWLY",1
"7725","PRINTS NOTHING",2
"7726","SEARCH WE",1
"7727","SQUASH",1
"7728","STEP SPACING",1
"7729","THEM DELIBERATE",1
"7730","FIRE STEEL",1
"7731","GREENLAND",1
"7732","LOON",11
"7733","TONNAGE",2
"7734","WHOPPING",2
"7735","SHERMAN",9
"7736","APE MAN",4
"7737","DARK LIKE",1
"7738","EVOLUTIONARY",1
"7739","MUSKEG ON",1
"7740","MYTHOLOGY",2
"7741","RUN SIT",1
"7742","WATCHED ALSO",1
"7743","RENOUNCE",1
"7744","BLOTTED",1
"7745","ODOR WHEN",1
"7746","PORCH THE",1
"7747","RADIOTHERAPIST",1
"7748","SCREAM THIS",2
"7749","WHINING MY",1
"7750","WINDOW MY",4
"7751","FLIRT",1
"7752","HOPELESS",1
"7753","JERKIN",2
"7754","LEVERAGE",2
"7755","LIPPED",1
"7756","MOP LIKE",1
"7757","MUSTACHE",2
"7758","OUTPACE",4
"7759","PR EMIGRATION",1
"7760","RED WINGS",2
"7761","ROBIN",2
"7762","SEEMLY",1
"7763","SELF DEFENSE",2
"7764","UNSMILING",2
"7765","FLEMING",6
"7766","KIM",3
"7767","MISSISSAUGA",1
"7768","CASUALLY CAN",1
"7769","FATHER HE",1
"7770","FIELD THEY",1
"7771","FUR WALKING",1
"7772","SOC",1
"7773","TIME THIS",1
"7774","ABACUS",1
"7775","MISCHIEF",1
"7776","PITY",2
"7777","REV",4
"7778","SWATHS",1
"7779","CHOREA",2
"7780","COLONEL",1
"7781","CUSTER",7
"7782","DRILLING POUNDING",1
"7783","EQUATE",9
"7784","LIEUTENANT",2
"7785","PAVEMENT THEY",1
"7786","AGILITY",6
"7787","BIKES MOTORCYCLES",1
"7788","COVERED THE",1
"7789","BOGGY",12
"7790","BROWNISH RED",8
"7791","FOAL",3
"7792","WALK RAN",1
"7793","BEST FRIEND",1
"7794","COFFEEHOUSE",1
"7795","ERIK",5
"7796","PASSIONATE",1
"7797","SANITARIUM",1
"7798","SNOWBOARD",1
"7799","IRREGULAR",3
"7800","RETHINK",2
"7801","REEBOK",1
"7802","DADAISM",1
"7803","HAVERSACK",1
"7804","HISTOLOGY",1
"7805","HUSBANDMAN",1
"7806","MYRIAD",1
"7807","ORIN",1
"7808","PANORAMIC",2
"7809","RIVERBOAT",1
"7810","SAILBOAT",1
"7811","STOUTHEARTED",1
"7812","TAKEN",2
"7813","THEREWITH",1
"7814","WEATHERMEN",2
"7815","MARIONETTE",3
"7816","MENOMINEE",5
"7817","NORWAY",1
"7818","SAW AND",3
"7819","VOLCANO",5
"7820","WALLEYE",2
"7821","WALMART YOU",1
"7822","NEW BURG",1
"7823","TIMBRE",5
"7824","OCCURRED ABOUT",1
"7825","TEXTED",1
"7826","MAIL BOX",7
"7827","MONTCALM",1
"7828","ATLANTA",8
"7829","BEFORE BOBCAT",1
"7830","GAY LORD",1
"7831","MONTERREY",5
"7832","ANIMAL ANIMALS",1
"7833","MARE",1
"7834","VENUE",3
"7835","CAR SHUT",1
"7836","GREY BROWN",4
"7837","THOUGHT WHAT",1
"7838","TRAILING HUNTING",1
"7839","BEEN THOUGHT",1
"7840","RIG",1
"7841","SODDEN",1
"7842","WAS WAS",2
"7843","ACROSS IT",1
"7844","DESCRIPTION THEN",1
"7845","LEPTON",4
"7846","SILVERFISH",2
"7847","SUDDEN IT",1
"7848","SUDETENLAND",1
"7849","ATROPHY",3
"7850","GRANDDAD",16
"7851","MACKINAW",2
"7852","MCKINLEY",1
"7853","MOI",5
"7854","PATCHWORK",2
"7855","RAPPED",3
"7856","USABLE",2
"7857","BEECH WOOD",1
"7858","HUGH",13
"7859","SEIZURE",1
"7860","BULL GAP",1
"7861","CORNER WHICH",1
"7862","DAYLIGHT AROUND",1
"7863","FLAT NOT",1
"7864","HEADSHRINKER",1
"7865","HUMAN EVEN",1
"7866","MAN SHAPED",1
"7867","NOT THEN",1
"7868","OFFLOAD",6
"7869","ROUNDED WHICH",1
"7870","STAT ELAND",2
"7871","THERETO",1
"7872","THIS SAYING",1
"7873","VIEW BUT",1
"7874","WWW",2
"7875","LEWIS TON",3
"7876","PASTRY",1
"7877","THINE",2
"7878","BEDTIME",4
"7879","MIDSIZE",3
"7880","RUFFLED",1
"7881","BLACK BEAR",4
"7882","HIBERNATE",6
"7883","POGROM",1
"7884","ANYONE NOBODY",1
"7885","FLOOR THEN",1
"7886","NARROW ROUGHLY",1
"7887","SCARE BUT",1
"7888","SKEPTICAL UNTIL",1
"7889","WINDOW THIS",1
"7890","MUSTY DAMP",1
"7891","EASEMENT",3
"7892","ENIGMA",2
"7893","FLABBERGAST",2
"7894","LEARNER",4
"7895","LOBBED",1
"7896","CHOREOGRAPH",1
"7897","DOGWOOD",3
"7898","FACE HEAD",2
"7899","KALAMAZOO",4
"7900","PLAYGROUND",9
"7901","SURPRISE ANGER",1
"7902","TAWNEY",1
"7903","ROLLAND",1
"7904","STEP UNCLE",1
"7905","OS CODA",2
"7906","QUICK EST",3
"7907","TITTLE",1
"7908","FACEBOOK",3
"7909","APE CREATURE",1
"7910","IONESCO",1
"7911","WHITEHORSE",1
"7912","DEER HUNTING",4
"7913","FOOT TRAILS",1
"7914","MIN BEFORE",1
"7915","ANIMAL IT",1
"7916","ANTHROPOLOGY",5
"7917","COLLABORATE",1
"7918","COMPARED THAT",1
"7919","ISABELLA",2
"7920","SOCIOLOGY",1
"7921","LOWLANDS",4
"7922","EMERSON",1
"7923","TURNBUCKLE",1
"7924","CRICK",1
"7925","WOODS SWAMP",1
"7926","BANDBOX",1
"7927","BLEAK",4
"7928","LEASER",1
"7929","NICKLE",7
"7930","RINSE",3
"7931","SPRAYER",3
"7932","WHOPPED",1
"7933","LOWELL MI",1
"7934","HOSTILITY",2
"7935","OKEFENOKEE",3
"7936","TACO",1
"7937","ADRIAN",2
"7938","AWKWARD",9
"7939","BOTHERATION",1
"7940","SOPHOMORE",5
"7941","REGRETTED",2
"7942","BIG SHOULDERED",1
"7943","BRIGGS",1
"7944","MIDWEST THIS",1
"7945","ALLEN",4
"7946","CONTRABAND",1
"7947","DELINQUENT",1
"7948","PREY",4
"7949","SQUIRE",1
"7950","AGATE",5
"7951","MAGNIFY",2
"7952","UNACCEPTABLE",2
"7953","UNDERHAND",1
"7954","BOBBIN",1
"7955","EMIGRANT",1
"7956","JACK PINE",1
"7957","PLANTATION",3
"7958","SAID HOLY",1
"7959","YIP",4
"7960","THOMPSON",7
"7961","TIPSY",3
"7962","COMPARATIVELY STOCKY",1
"7963","DIFFIDENT",1
"7964","FRANKENSTEIN",2
"7965","HER THREATEN",1
"7966","HOUSEKEEPER",1
"7967","LOOKING IT",2
"7968","MASCULINE",1
"7969","REALIST",3
"7970","SEVILLE",2
"7971","SMIRCH",1
"7972","STRENGTHENER",1
"7973","WEENIE",1
"7974","WITCH REMEMBER",1
"7975","WOLF MAN",4
"7976","ABOUT THE",1
"7977","AGAIN JUST",1
"7978","LENA WEE",1
"7979","PICKFORD",1
"7980","SECTION AND",1
"7981","THE REBUT",3
"7982","MOOT",7
"7983","NIGHTLIGHT",1
"7984","SOBBED",1
"7985","STUTTER",4
"7986","WATERBED",1
"7987","FACET",11
"7988","FOUR FOOTED",1
"7989","LANG FORD",3
